title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Iso-Lateral Chest Press (Machine),,,2,normal,80,12,,,
Full Body 3,"10 Jul 2023, 17:38","10 Jul 2023, 18:24",,Arnold Press (Dumbbell),,,3,warmup,12,12,,,
"Day 5 - Shoulders, Traps and Forearms","7 Apr 2023, 16:48","7 Apr 2023, 17:42",,Arnold Press (Dumbbell),,,0,normal,28,12,,,
"Day 5 - Shoulders, Traps and Forearms","7 Apr 2023, 16:48","7 Apr 2023, 17:42",,Arnold Press (Dumbbell),,,1,normal,28,12,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Cycling,,,0,normal,0,,1.6,318,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Squat (Barbell),,,0,warmup,40,12,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Squat (Barbell),,,1,warmup,60,12,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Squat (Barbell),,,2,normal,110,11,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Squat (Barbell),,,3,normal,110,11,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Squat (Barbell),,,4,normal,110,10,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Romanian Deadlift (Barbell),,,0,warmup,40,12,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Romanian Deadlift (Barbell),,,1,normal,60,12,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Romanian Deadlift (Barbell),,,2,normal,60,12,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Romanian Deadlift (Barbell),,,3,normal,60,12,,,
"Day 5 - Shoulders, Traps and Forearms","7 Apr 2023, 16:48","7 Apr 2023, 17:42",,Arnold Press (Dumbbell),,,2,normal,28,12,,,
"Day 5 - Shoulders, Traps and Forearms","31 Mar 2023, 18:16","31 Mar 2023, 19:00",,Arnold Press (Dumbbell),,,0,normal,28,10,,,
"Day 5 - Shoulders, Traps and Forearms","31 Mar 2023, 18:16","31 Mar 2023, 19:00",,Arnold Press (Dumbbell),,,1,normal,28,10,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Cable Crunch,,,0,normal,20,15,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Cable Crunch,,,1,normal,30,15,,,
Legs,"10 Jun 2026, 17:48","10 Jun 2026, 18:30",,Cable Crunch,,,2,normal,30,15,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Bent Over Row (Barbell),,,0,warmup,40,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Bent Over Row (Barbell),,,1,warmup,60,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Bent Over Row (Barbell),,,2,normal,110,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Bent Over Row (Barbell),,,3,normal,110,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Bent Over Row (Barbell),,,4,normal,110,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Lat Pulldown (Cable),,,0,normal,70,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Lat Pulldown (Cable),,,1,normal,70,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Lat Pulldown (Cable),,,2,normal,70,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Seated Cable Row - V Grip (Cable),,,0,normal,60,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Seated Cable Row - V Grip (Cable),,,1,normal,60,12,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Seated Cable Row - V Grip (Cable),,,2,normal,60,12,,,
"Day 5 - Shoulders, Traps and Forearms","31 Mar 2023, 18:16","31 Mar 2023, 19:00",,Arnold Press (Dumbbell),,,2,normal,28,10,,,
"Day 5 - Shoulders, Traps and Forearms","24 Mar 2023, 16:24","24 Mar 2023, 17:23",,Arnold Press (Dumbbell),,,0,normal,28,8,,,
"Day 5 - Shoulders, Traps and Forearms","24 Mar 2023, 16:24","24 Mar 2023, 17:23",,Arnold Press (Dumbbell),,,1,normal,28,8,,,
Pull,"9 Jun 2026, 16:24","9 Jun 2026, 17:13",,Treadmill,,,0,normal,0,,1.55,600,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Bench Press (Barbell),,,0,warmup,40,12,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Bench Press (Barbell),,,1,warmup,50,12,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Bench Press (Barbell),,,2,normal,90,12,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Bench Press (Barbell),,,3,normal,90,12,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Bench Press (Barbell),,,4,normal,90,12,,,
"Day 5 - Shoulders, Traps and Forearms","24 Mar 2023, 16:24","24 Mar 2023, 17:23",,Arnold Press (Dumbbell),,,2,normal,28,8,,,
"Day 5 - Shoulders, Traps and Forearms","16 Mar 2023, 17:05","16 Mar 2023, 17:55",,Arnold Press (Dumbbell),,,0,normal,24,12,,,
"Day 5 - Shoulders, Traps and Forearms","16 Mar 2023, 17:05","16 Mar 2023, 17:55",,Arnold Press (Dumbbell),,,1,normal,24,12,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Triceps Pushdown,,,0,normal,45,15,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Triceps Pushdown,,,1,normal,45,15,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Triceps Pushdown,,,2,normal,45,15,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Crunch (Machine),,,0,normal,90,15,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Crunch (Machine),,,1,normal,90,15,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Crunch (Machine),,,2,normal,90,15,,,
Push,"8 Jun 2026, 16:51","8 Jun 2026, 17:38",,Treadmill,,,0,normal,0,,1.3,600,
Legs only,"4 Jun 2026, 17:07","4 Jun 2026, 17:14",,Leg Press Horizontal (Machine),,,0,normal,160,10,,,
Legs only,"4 Jun 2026, 17:07","4 Jun 2026, 17:14",,Leg Press Horizontal (Machine),,,1,normal,160,10,,,
Legs only,"4 Jun 2026, 17:07","4 Jun 2026, 17:14",,Leg Press Horizontal (Machine),,,2,normal,160,10,,,
Legs only,"4 Jun 2026, 17:07","4 Jun 2026, 17:14",,Leg Extension (Machine),,,0,normal,100,10,,,
Legs only,"4 Jun 2026, 17:07","4 Jun 2026, 17:14",,Leg Extension (Machine),,,1,normal,100,10,,,
Legs only,"4 Jun 2026, 17:07","4 Jun 2026, 17:14",,Leg Extension (Machine),,,2,normal,100,7,,,
"Day 5 - Shoulders, Traps and Forearms","16 Mar 2023, 17:05","16 Mar 2023, 17:55",,Arnold Press (Dumbbell),,,2,normal,24,12,,,
"Day 5 - Shoulders, Traps and Forearms","9 Mar 2023, 17:11","9 Mar 2023, 17:45",,Arnold Press (Dumbbell),,,0,normal,24,10,,,
"Day 5 - Shoulders, Traps and Forearms","9 Mar 2023, 17:11","9 Mar 2023, 17:45",,Arnold Press (Dumbbell),,,1,normal,24,11,,,
Full body A,"4 Jun 2026, 16:42","4 Jun 2026, 17:03",,Bent Over Row (Barbell),,,0,normal,110,12,,,
