Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2025-06-20 10:40:00;Day 1 - Back & Biceps;Bent Over Row (Barbell);3;110.0;kg;8.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Back Extension (Weighted Hyperextension);1;10.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Back Extension (Weighted Hyperextension);2;20.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Back Extension (Weighted Hyperextension);3;20.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Seated Cable Row - Bar Grip;1;100.0;kg;12.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Seated Cable Row - Bar Grip;2;120.0;kg;12.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Seated Cable Row - Bar Grip;3;140.0;kg;9.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Lat Pulldown (Cable);1;70.0;kg;12.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Lat Pulldown (Cable);2;80.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Lat Pulldown (Cable);3;90.0;kg;9.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Rear Delt Reverse Fly (Machine);1;50.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Rear Delt Reverse Fly (Machine);2;50.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Rear Delt Reverse Fly (Machine);3;50.0;kg;10.0;;;;0;;;1h 0m
2025-09-12 16:27:00;Full Body 2;Hammer Curl (Dumbbell);2;32.0;kg;10.0;;;;0;;;47m
2025-09-12 16:27:00;Full Body 2;Hammer Curl (Dumbbell);3;32.0;kg;8.0;;;;0;;;47m
2025-09-12 16:27:00;Full Body 2;Hammer Curl (Dumbbell);4;24.0;kg;10.0;;;;0;;;47m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Reverse Grip Concentration Curl;1;10.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Reverse Grip Concentration Curl;2;10.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Reverse Grip Concentration Curl;3;10.0;kg;10.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Hammer Curl (Cable);1;40.0;kg;11.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Hammer Curl (Cable);2;40.0;kg;11.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Hammer Curl (Cable);3;40.0;kg;11.0;;;;0;;;1h 0m
